Carrier,Origin_City,Origin_State,Origin,Dest_City,Dest_State,Destination,Miles,Origin_Lat,Origin_Lon,Dest_Lat,Dest_Lon
Yuma County Intergovernmental Public Transportation Authority,Yuma,AZ,"Yuma, AZ",San Luis,AZ,"San Luis, AZ",32,32.7253249,-114.624397,32.0803504,-111.955128
Yuma County Intergovernmental Public Transportation Authority,Yuma,AZ,"Yuma, AZ",San Luis,AZ,"San Luis, AZ",32,32.7253249,-114.624397,32.4869996,-114.7821796
Golden Gate Bridge Highway & Transportation,San Francisco,CA,"San Francisco, CA",Santa Rosa,CA,"Santa Rosa, CA",54,37.775,-122.4194444,38.4404675,-122.7144314
Verde Lynx,Cottonwood,AZ,"Cottonwood, AZ",Sedona,AZ,"Sedona, AZ",19,36.0730594,-109.8923374,34.8697395,-111.7609896
Verde Lynx,Cottonwood,AZ,"Cottonwood, AZ",Sedona,AZ,"Sedona, AZ",19,33.0739454,-111.700687,34.8697395,-111.7609896
Verde Lynx,Cottonwood,AZ,"Cottonwood, AZ",Sedona,AZ,"Sedona, AZ",19,34.7391876,-112.0098791,34.8697395,-111.7609896
Lincoln County Transit (OR),Newport,OR,"Newport, OR",Siletz,OR,"Siletz, OR",13,44.6367836,-124.0534505,44.7217836,-123.920113
Vortran (FL),Oak Hill,FL,"Oak Hill, FL",Smyrna,FL,"Smyrna, FL",13,28.8644338,-80.8544975,30.5999151,-85.677986
Vortran (FL),Oak Hill,FL,"Oak Hill, FL",Smyrna,FL,"Smyrna, FL",13,30.2463506,-81.7512093,30.5999151,-85.677986
Sonoma County Transit,Santa Rosa,CA,"Santa Rosa, CA",Sonoma,CA,"Sonoma, CA",40,38.4404675,-122.7144314,38.291859,-122.4580356
Worcester RTA,Worcester,MA,"Worcester, MA",Southbridge,MA,"Southbridge, MA",25,42.2625932,-71.8022934,42.0750954,-72.0334084
Pioneer Valley RTA,Westfield,MA,"Westfield, MA",Springfield,MA,"Springfield, MA",17,42.1250929,-72.749538,42.1014831,-72.589811
CATABUS,Bellefonte,PA,"Bellefonte, PA",State College,PA,"State College, PA",14,40.9133943,-77.7783348,40.793395,-77.8600013
Modesto Area Express,Modesto,CA,"Modesto, CA",Stockton,CA,"Stockton, CA",32,37.6390972,-120.9968782,37.9577016,-121.2907796
Modesto Area Express,Modesto,CA,"Modesto, CA",Stockton,CA,"Stockton, CA",32,37.6390972,-120.9968782,32.713385,-117.123087
Franklin RTA,Greenfield,MA,"Greenfield, MA",Sunderland,MA,"Sunderland, MA",11,42.5875857,-72.5995339,42.244538,-71.7717372
Franklin RTA,Greenfield,MA,"Greenfield, MA",Sunderland,MA,"Sunderland, MA",11,42.5875857,-72.5995339,42.4667546,-72.5786996
Linn-Benton Loop Bus (OR),Corvallis,OR,"Corvallis, OR",Tangent,OR,"Tangent, OR",15,44.5645659,-123.2620435,44.5412335,-123.1081498
Port Authority of Allegheny County,Pittsburgh,PA,"Pittsburgh, PA",Tarentum,PA,"Tarentum, PA",20,40.4406248,-79.9958864,40.6014555,-79.7597709
Greater Attleboro,Attleboro,MA,"Attleboro, MA",Taunton,MA,"Taunton, MA",13,41.9445441,-71.2856082,41.900101,-71.0897675
San Miguel Authority for Regional Transportation,Nucla,CO,"Nucla, CO",Telluride,CO,"Telluride, CO",53.5,38.2694347,-108.5478691,37.9374939,-107.8122852
Piedmont Authority for Public Transportation,Greensboro,NC,"Greensboro, NC",Thomasville,NC,"Thomasville, NC",23,36.0726355,-79.7919754,35.8826369,-80.0819879
Mendocino Transit Authority,Point Arena,CA,"Point Arena, CA",Ukiah,CA,"Ukiah, CA",51,38.908798,-123.6930726,39.1501709,-123.2077831
ECO Transit (Eagle County),Leadville,CO,"Leadville, CO",Vail,CO,"Vail, CO",44,39.2508229,-106.2925238,39.6402638,-106.3741955
ECO Transit (Eagle County),Eagle,CO,"Eagle, CO",Vail,CO,"Vail, CO",31,39.6552635,-106.8286507,39.6402638,-106.3741955
Sarasota County Area Transit,Sarasota,FL,"Sarasota, FL",Venice,FL,"Venice, FL",18,27.3364347,-82.5306527,27.0997775,-82.4542633
Space Coast area transit (FL),Titusville,FL,"Titusville, FL",Viera,FL,"Viera, FL",31,28.6122187,-80.8075538,28.2469551,-80.7369994
Hampton Roads Transit,Norfolk,VA,"Norfolk, VA",Virginia Beach,VA,"Virginia Beach, VA",19,36.8468146,-76.2852183,36.8529263,-75.977985
Pioneer Valley RTA,Springfield,MA,"Springfield, MA",Ware,MA,"Ware, MA",27,42.1014831,-72.589811,42.2598146,-72.2398021
Greater Attleboro,Plymouth,MA,"Plymouth, MA",Wareham,MA,"Wareham, MA",26,41.9584367,-70.6672577,41.7626037,-70.7217017
Tri County Council,Annapolis,MD,"Annapolis, MD",Washington,DC,"Washington, DC",32,38.9784453,-76.4921829,38.8951118,-77.0363658
Trinity County Transportation Commission,Hayfork,CA,"Hayfork, CA",Weaverville,CA,"Weaverville, CA",30,40.5543106,-123.1830839,40.7309778,-122.94197080000001
Pioneer Valley RTA,Holyoke,MA,"Holyoke, MA",West Springfield,MA,"West Springfield, MA",12,42.2042587,-72.6162009,42.1070383,-72.6203675
Greater Bridgeport Transit,Norwalk,CT,"Norwalk, CT",Westfield,CT,"Westfield, CT",54,41.1175966,-73.4078968,41.584821,-72.7006505
Berkshire RTA,Pittsfield,MA,"Pittsfield, MA",Williamstown,MA,"Williamstown, MA",22,42.4500846,-73.2453824,42.7120249,-73.2037177
Lowell RTA,Lowell,MA,"Lowell, MA",Wilmington,MA,"Wilmington, MA",11,42.6334247,-71.3161718,42.5464828,-71.1736669
Montachusett RTA,Gardner,MA,"Gardner, MA",Winchendon,MA,"Winchendon, MA",10,42.5750883,-71.998133,42.6861973,-72.0439686
Rochester City Lines (MN),Bloomington,MN,"Bloomington, MN",Winona,MN,"Winona, MN",114,44.840798,-93.2982799,44.049963,-91.6393152
Cripple Creek Transportation,Cripple Creek,CO,"Cripple Creek, CO",Woodland Park,CO,"Woodland Park, CO",21,38.7466555,-105.1783149,38.9938808,-105.0569301
Florence Yachats Connector (OR),Florence,OR,"Florence, OR",Yachats,OR,"Yachats, OR",40,43.9826214,-124.0998409,44.3112312,-124.1048418
