Carrier,Origin_City,Origin_State,Origin,Dest_City,Dest_State,Destination,Miles,Origin_Lat,Origin_Lon,Dest_Lat,Dest_Lon
MARTA (GA),Palmetto,GA,"Palmetto, GA",College Park,GA,"College Park, GA",20,33.5178907,-84.6696548,33.6534427,-84.4493725
MARTA (GA),Palmetto,GA,"Palmetto, GA",College Park,GA,"College Park, GA",20,33.5178907,-84.6696548,34.6414853,-83.5304489
MARTA (GA),Palmetto,GA,"Palmetto, GA",College Park,GA,"College Park, GA",20,33.5178907,-84.6696548,31.197452,-81.4831564
Bustang Outrider,Lamar,CO,"Lamar, CO",Colorado Springs,CO,"Colorado Springs, CO",159,38.0872307,-102.6207496,38.8338816,-104.8213634
Envida,Calhan,CO,"Calhan, CO",Colorado Springs,CO,"Colorado Springs, CO",34,39.0355459,-104.297186,38.8338816,-104.8213634
Rabbit Transit,York,PA,"York, PA",Columbia,PA,"Columbia, PA",12,39.9625984,-76.727745,40.0337085,-76.5044098
The Comet,Newberry,SC,"Newberry, SC",Columbia,SC,"Columbia, SC",42,34.2745833,-81.6187179,34.0007104,-81.0348144
The Comet,Eastover,SC,"Eastover, SC",Columbia,SC,"Columbia, SC",25,33.876821,-80.6928654,34.0007104,-81.0348144
Emerald Coast Rider (FL),Fort Walton Beach,FL,"Fort Walton Beach, FL",Crestview,FL,"Crestview, FL",23,30.4057552,-86.618842,30.7621326,-86.5705084
Pioneer Valley RTA,Amherst,MA,"Amherst, MA",Deerfield,MA,"Deerfield, MA",10,42.3803676,-72.523143,42.5445308,-72.6056448
Bustang,Fort Collins,CO,"Fort Collins, CO",Denver,CO,"Denver, CO",63,40.5852602,-105.084423,39.7391536,-104.9847034
Bustang,Colorado Springs,CO,"Colorado Springs, CO",Denver,CO,"Denver, CO",134,38.8338816,-104.8213634,39.7391536,-104.9847034
Bustang Outrider,Gunnison,CO,"Gunnison, CO",Denver,CO,"Denver, CO",201,38.5458246,-106.9253207,39.7391536,-104.9847034
Bustang Outrider,Craig,CO,"Craig, CO",Denver,CO,"Denver, CO",198,40.5152491,-107.5464541,39.7391536,-104.9847034
RTD Denver,Nederland,CO,"Nederland, CO",Denver,CO,"Denver, CO",40,39.9613759,-105.5108312,39.7391536,-104.9847034
RTD Denver,Pine Junction,CO,"Pine Junction, CO",Denver,CO,"Denver, CO",39.5,39.4661,-105.3958297,39.7391536,-104.9847034
Delmarva Community Transit (MD),Rock Hall,MD,"Rock Hall, MD",Easton,MD,"Easton, MD",49,39.1381658,-76.2349537,38.7742826,-76.0763305
Delmarva Community Transit (MD),Rock Hall,MD,"Rock Hall, MD",Easton,MD,"Easton, MD",49,39.2687133,-77.5260987,38.7742826,-76.0763305
Madison County Transit (IL),Highland,IL,"Highland, IL",Edwardsville,IL,"Edwardsville, IL",16,38.7394918,-89.6712008,38.8114364,-89.953157
Erie Metropolitan Transit Authority,Albion,PA,"Albion, PA",Erie,PA,"Erie, PA",28,40.9589529,-78.9469777,42.1292241,-80.085059
Erie Metropolitan Transit Authority,Albion,PA,"Albion, PA",Erie,PA,"Erie, PA",28,41.8906112,-80.3664542,42.1292241,-80.085059
Erie Metropolitan Transit Authority,Edinboro,PA,"Edinboro, PA",Erie,PA,"Erie, PA",20,41.8742225,-80.1317236,42.1292241,-80.085059
Erie Metropolitan Transit Authority,Waterford,PA,"Waterford, PA",Erie,PA,"Erie, PA",14,40.2545173,-79.167531,42.1292241,-80.085059
Erie Metropolitan Transit Authority,Waterford,PA,"Waterford, PA",Erie,PA,"Erie, PA",14,39.9500989,-76.6544111,42.1292241,-80.085059
Erie Metropolitan Transit Authority,Waterford,PA,"Waterford, PA",Erie,PA,"Erie, PA",14,41.942833,-79.9844968,42.1292241,-80.085059
Chittenden County Transportation Authority,Burlington,VT,"Burlington, VT",Essex Junction,VT,"Essex Junction, VT",10,44.4758825,-73.212072,44.4906054,-73.1109604
Diamond Express (OR),Oakridge,OR,"Oakridge, OR",Eugene,OR,"Eugene, OR",43,43.7465124,-122.4617159,44.0520691,-123.0867536
Lane Transit District (OR),Junction City,OR,"Junction City, OR",Eugene,OR,"Eugene, OR",17,44.2192901,-123.2056484,44.0520691,-123.0867536
Marble Valley Regional Transit District,Middlebury,VT,"Middlebury, VT",Fair Haven,VT,"Fair Haven, VT",40,44.015337100000004,-73.16734,43.5947889,-73.2656663
Fresno County Rural Transit Agency,Fresno,CA,"Fresno, CA",Firebaugh,CA,"Firebaugh, CA",41,36.7477272,-119.7723661,36.8588376,-120.4560072
Citrus County Transit (FL),Lecanto,FL,"Lecanto, FL",Floral City,FL,"Floral City, FL",17,28.8516486,-82.4875982,28.7499876,-82.2967581
Mendocino Transit Authority,Point Arena,CA,"Point Arena, CA",Fort Bragg,CA,"Fort Bragg, CA",90,38.908798,-123.6930726,39.445723,-123.8052935
Frederick County TransIT (MD),Point of Rocks,MD,"Point of Rocks, MD",Frederick,MD,"Frederick, MD",13,39.2759354,-77.5391546,39.4142688,-77.4105409
Fresno County Rural Transit Agency,Huron,CA,"Huron, CA",Fresno,CA,"Fresno, CA",51,36.2027308,-120.1029177,36.7477272,-119.7723661
Valley Metro (Phoenix),Phoenix,AZ,"Phoenix, AZ",Gila Bend,AZ,"Gila Bend, AZ",69,33.4483771,-112.0740373,32.9478236,-112.7168305
San Benito Express,Hollister,CA,"Hollister, CA",Gilroy,CA,"Gilroy, CA",16,36.8524545,-121.4016021,37.0057816,-121.5682751
VTA,San Jose,CA,"San Jose, CA",Gilroy,CA,"Gilroy, CA",32,37.3393857,-121.8949555,37.0057816,-121.5682751
Bustang,Grand Junction,CO,"Grand Junction, CO",Glenwood Springs,CO,"Glenwood Springs, CO",304,39.0638705,-108.5506486,39.5505376,-107.3247762
Cape Ann RTA,Beverly,MA,"Beverly, MA",Gloucester,MA,"Gloucester, MA",19,42.5584284,-70.8800491,42.6159286,-70.6619888
Bustang Outrider,Durango,CO,"Durango, CO",Grand Junction,CO,"Grand Junction, CO",173,37.27528,-107.8800667,39.0638705,-108.5506486
Bustang Outrider,Telluride,CO,"Telluride, CO",Grand Junction,CO,"Grand Junction, CO",70,37.9374939,-107.8122852,39.0638705,-108.5506486
Berkshire RTA,Pittsfield,MA,"Pittsfield, MA",Great Barrington,MA,"Great Barrington, MA",22,42.4500846,-73.2453824,42.1959225,-73.3620564
SunTran (Tucson),Tucson,AZ,"Tucson, AZ",Green Valley,AZ,"Green Valley, AZ",32,32.2217429,-110.926479,31.8542511,-110.9937019
Gunnison Valley RTA,Crested Butte,CO,"Crested Butte, CO",Gunnison,CO,"Gunnison, CO",27,38.8697146,-106.9878232,38.5458246,-106.9253207
Merrimack Valley RTA,Lawrence,MA,"Lawrence, MA",Hampton,NH,"Hampton, NH",28,42.7070354,-71.1631137,42.9375899,-70.8389421
Kings Area Rural Transit,Fresno,CA,"Fresno, CA",Hanford,CA,"Hanford, CA",32,36.7477272,-119.7723661,36.3274502,-119.6456844
Merrimack Valley RTA,Lawrence,MA,"Lawrence, MA",Haverhill,MA,"Haverhill, MA",10,42.7070354,-71.1631137,42.7762015,-71.0772796
Merrimack Valley RTA,Andover,MA,"Andover, MA",Haverhill,MA,"Haverhill, MA",14,42.6584254,-71.1370012,42.7762015,-71.0772796
Lassen Rural Bus,Susanville,CA,"Susanville, CA",Herlong,CA,"Herlong, CA",37,40.4162842,-120.6530063,40.1435142,-120.1346519
Piedmont Authority for Public Transportation,Greensboro,NC,"Greensboro, NC",High Point,NC,"High Point, NC",18,36.0726355,-79.7919754,35.9556924,-80.0053176
Pioneer Valley RTA,Springfield,MA,"Springfield, MA",Holyoke,MA,"Holyoke, MA",11,42.1014831,-72.589811,42.2042587,-72.6162009
Miami-Dade County Transit (FL),Miami,FL,"Miami, FL",Homestead,FL,"Homestead, FL",34,25.7742658,-80.1936589,25.4687224,-80.4775569
Lowell RTA,Lowell,MA,"Lowell, MA",Hudson,NH,"Hudson, NH",14,42.6334247,-71.3161718,42.7648108,-71.4397876
Tahoe Area Regional Transit,Tahoma,CA,"Tahoma, CA",Incline Village,NV,"Incline Village, NV",15,39.0674074,-120.1282439,39.2512962,-119.9729674
Marin Transit,San Rafael,CA,"San Rafael, CA",Inverness,CA,"Inverness, CA",25,37.9736111,-122.5311111,38.1010337,-122.8569377
Janesville Transit System,Beloit,WI,"Beloit, WI",Janesville,WI,"Janesville, WI",15,42.5083482,-89.0317765,42.6827885,-89.0187223
Chittenden County Transportation Authority,Burlington,VT,"Burlington, VT",Jeffersonville,VT,"Jeffersonville, VT",34,44.4758825,-73.212072,44.6439391,-72.8292945
Hartford Transit,Aberdeen,MD,"Aberdeen, MD",Joppatowne,MD,"Joppatowne, MD",12,39.5095556,-76.1641197,39.4578856,-76.3552374
Marble Valley Regional Transit District,Rutland,VT,"Rutland, VT",Killington,VT,"Killington, VT",15,43.6106237,-72.9726065,43.6775677,-72.7798247
Quail Trail,Chiloquin,OR,"Chiloquin, OR",Klamath Falls,OR,"Klamath Falls, OR",27,42.5776364,-121.8661258,42.224867,-121.7816704
Quail Trail,Beatty,OR,"Beatty, OR",Klamath Falls,OR,"Klamath Falls, OR",41,42.441815,-121.2708314,42.224867,-121.7816704
Birmingham Jefferson Transit Authority,Birmingham,AL,"Birmingham, AL",Lake Purdy,AL,"Lake Purdy, AL",12,33.5206608,-86.80249,33.4301076,-86.6805421
Kern Transit,Bakersfield,CA,"Bakersfield, CA",Lancaster,CA,"Lancaster, CA",71,35.3732921,-119.0187125,34.6980406,-118.1367393
Capital Area Transportation Authority (MI),Mason,MI,"Mason, MI",Lansing,MI,"Lansing, MI",12,42.5792027,-84.4435845,42.732535,-84.5555347
Capital Area Transportation Authority (MI),Mason,MI,"Mason, MI",Lansing,MI,"Lansing, MI",12,47.1410378,-88.465676,42.732535,-84.5555347
Merrimack Valley RTA,Boston,MA,"Boston, MA",Lawrence,MA,"Lawrence, MA",28,42.3584308,-71.0597732,42.7070354,-71.1631137
Merrimack Valley RTA,Lowell,MA,"Lowell, MA",Lawrence,MA,"Lawrence, MA",12,42.6334247,-71.3161718,42.7070354,-71.1631137
Merrimack Valley RTA,Haverhill,MA,"Haverhill, MA",Lawrence,MA,"Lawrence, MA",10,42.7762015,-71.0772796,42.7070354,-71.1631137
Berkshire RTA,Pittsfield,MA,"Pittsfield, MA",Lee,MA,"Lee, MA",12,42.4500846,-73.2453824,42.3042537,-73.2481616
Central Arkansas Transit Authority,Hensley,AR,"Hensley, AR",Little Rock,AR,"Little Rock, AR",17,34.5053723,-92.2057037,34.7464809,-92.2895948
Central Arkansas Transit Authority,Maumelle,AR,"Maumelle, AR",Little Rock,AR,"Little Rock, AR",15,34.8667565,-92.4043219,34.7464809,-92.2895948
Lowell RTA,Lowell,MA,"Lowell, MA",Littleton,MA,"Littleton, MA",14,42.6334247,-71.3161718,42.5375917,-71.5120096
